ID	3fm	360magazine	bright	kidsweek	nos	nrc	sevendays
N Adj N	212	13	3	4	5036	91	8
Pron V Art	291	18	6	15	8757	270	17
Conj Num N	220	22	0	3	4460	34	6
Prep V N	0	6	0	2	1415	30	2
V Adj Art	67	0	0	2	1517	32	3
Prep V Punc	0	0	2	0	0	0	0
V Conj Art	327	35	13	8	16247	302	15
Conj Art N	520	94	19	14	25809	405	21
Prep V V	261	28	0	14	7942	188	13
Art Num Adj	184	6	3	0	1926	0	4
Int V Pron	0	0	2	0	0	40	2
<s> Conj Int	0	0	0	3	0	0	3
V Int </s>	123	0	0	0	0	0	0
N Adj V	292	32	7	5	8751	144	10
Conj Num V	0	0	0	0	1115	0	5
Num </s> <s>	1064	23	15	4	7021	61	18
<s> Int Misc	0	37	0	0	0	0	0
Pron Misc Misc	127	0	0	0	0	0	2
Art Art Adj	0	0	0	0	0	21	2
<s> Adv Pron	84	5	0	4	1890	56	0
Num N Prep	993	66	10	17	19926	140	17
Pron N Num	0	5	0	2	0	0	0
Adv Num Adj	71	0	0	0	1231	22	0
Prep Pron Art	72	4	3	3	1602	41	0
Adj Adj Pron	0	0	2	0	0	35	3
V Pron </s>	75	8	3	2	2178	49	2
Adv Num Adv	0	0	1	0	0	0	0
Num N Num	422	11	0	0	2590	0	0
V Conj Pron	444	55	4	16	14772	572	18
Conj Pron </s>	0	0	2	0	0	26	0
Misc Prep Adv	0	0	2	0	0	0	0
Adv Conj Prep	0	0	0	0	993	19	0
Misc Conj Adj	77	0	0	0	0	0	0
Prep V </s>	538	62	23	29	16276	408	21
Adj V Pron	258	11	7	6	4734	157	10
<s> Art N	1169	75	22	38	36640	501	26
Misc Misc Conj	571	19	0	3	2472	22	7
Adj Adv Prep	118	8	3	7	3158	72	7
<s> Art Num	142	6	2	4	2479	23	5
<s> Art V	269	18	4	15	9607	205	7
Misc Conj Adv	0	0	0	0	0	0	4
V Misc Misc	182	10	0	0	975	25	0
Adj Adj V	243	13	10	7	4647	106	8
<s> Pron Adv	0	3	0	0	0	47	4
<s> N Pron	100	5	3	3	1631	54	3
Misc Misc Adv	135	6	0	0	0	0	0
Pron N Adj	126	10	2	4	2663	77	3
<s> N </s>	182	5	2	0	0	30	0
Misc Adj Pron	0	0	1	0	0	0	0
Adj Adj N	269	12	4	7	5519	110	12
<s> Pron N	337	20	5	7	5280	210	13
V Prep N	846	86	22	19	23356	234	16
N N V	612	39	7	13	14266	163	14
Conj N N	204	9	1	4	3025	32	4
Adv V N	130	10	3	9	3102	56	5
Conj Prep Adj	0	8	5	0	1035	28	4
N Conj Adj	172	18	4	7	4089	92	10
Adv </s> <s>	712	41	15	26	12044	500	30
Int Art N	0	5	0	2	0	0	3
N Conj Adv	290	24	6	6	6723	140	17
N Conj Int	0	7	0	0	990	0	0
<s> Pron V	944	82	25	64	34661	1093	54
V Prep V	160	21	4	6	5997	145	10
N N N	344	36	3	5	4555	46	4
Conj N V	188	24	4	2	5396	96	5
Adj V N	93	7	4	3	2670	37	0
Prep Num Prep	365	6	2	2	4696	30	3
Adv Adv Art	369	7	11	7	4423	122	9
Prep Adj Adj	95	7	0	3	1876	42	2
Adj V </s>	357	43	15	14	9186	323	16
N Pron Num	0	4	0	0	0	0	0
Prep Pron Misc	0	11	0	0	0	0	2
V Conj Adv	294	21	13	10	10138	247	10
Adj Pron Art	0	0	0	0	0	20	0
Conj Misc Prep	0	0	2	0	0	0	0
Art N Pron	228	29	7	4	8427	177	11
V Conj Adj	110	13	0	6	3688	78	5
Adv Prep V	236	23	9	6	6941	166	7
V Art Num	141	5	3	3	2518	0	3
N Adj Misc	187	6	0	0	1414	0	4
N Adj Prep	226	12	5	7	5718	260	4
Adj Pron N	100	5	3	4	1670	44	2
Conj Pron N	258	24	4	9	5768	219	11
Conj N Adv	74	9	0	3	1907	45	4
N Conj Prep	164	15	6	2	4880	93	9
<s> Num V	71	0	0	2	0	0	0
Conj Pron Conj	0	0	0	0	0	24	0
Prep Prep V	162	13	4	15	4883	88	5
Conj Adj Num	0	0	0	0	0	0	2
<s> Num N	273	13	0	10	2983	41	0
Conj N Adj	66	7	0	2	1403	29	0
Prep Prep N	155	5	2	5	2899	40	3
Pron Prep </s>	0	0	0	0	0	26	0
Pron Num Adj	117	0	0	2	0	0	2
Adj Pron V	93	0	2	4	1655	66	4
Conj Pron V	511	34	8	16	9831	410	17
Prep Adv Art	0	0	2	0	0	0	0
Prep Art Num	423	15	4	5	13134	90	16
Pron Conj Pron	73	6	0	2	977	82	0
Adj Pron Misc	0	0	2	0	0	0	0
Misc V Adv	189	7	0	0	1852	0	2
Art Adj Pron	94	4	6	3	1959	77	4
Adj Misc </s>	99	6	0	2	1877	28	0
Adv Adv N	81	4	0	2	1758	40	2
Adv Pron Prep	110	13	2	2	2143	87	4
Adj Prep Adj	126	15	3	0	2360	44	4
Adv Adv V	387	27	3	14	9092	267	13
Prep Prep Pron	107	0	3	3	0	27	2
Adj Prep Adv	0	0	3	2	0	0	0
Num V Adv	128	4	2	0	1343	0	3
Adj Conj Prep	103	9	4	0	2095	53	3
<s> Adv N	0	0	3	0	994	26	0
Art Pron V	0	0	2	0	0	39	0
<s> V V	0	0	0	0	0	0	2
V N Conj	72	5	0	3	2128	42	8
N Art Prep	0	0	1	1	0	0	0
Conj Adv Misc	0	3	0	0	0	0	0
<s> V N	0	0	0	0	0	21	2
Misc N </s>	72	0	0	2	0	0	0
Adj Int V	0	0	0	2	0	0	0
Art Pron N	76	4	2	0	2455	71	4
<s> Conj Num	0	0	0	2	0	0	0
Art Prep V	0	0	0	0	0	0	2
Conj Adj Art	0	0	1	1	0	0	0
Art V V	78	9	2	2	2647	68	0
N Num Num	0	0	0	0	980	0	0
N V Misc	174	13	0	4	3047	65	0
N Prep N	1692	169	17	36	53790	632	38
Adj Num Conj	0	0	2	0	0	0	0
Adv Num N	267	23	6	10	6278	67	5
